AnnotationAccession,host,isolation_source
GCF_014169675.1_ASM1416967v1,NA,wastewater
GCF_003058405.2_ASM305840v2,Ictalurus punctatus,NA
GCF_026074015.1_ASM2607401v1,NA,cruid oil
GCF_019969505.1_ASM1996950v1,NA,NA
GCF_016952995.2_ASM1695299v2,NA,Dairy Fermentation
GCF_028749545.1_ASM2874954v1,Brassica rapa subsp. pekinensis,leaf tissue
GCF_007993715.1_ASM799371v1,Chinese cabbage,NA
GCF_036866455.1_ASM3686645v1,shrimp,intestine
GCF_035994945.1_ASM3599494v1,NA,NA
GCF_015571855.1_ASM1557185v1,Sus scrofa domesticus,feces
GCF_018739605.1_ASM1873960v1,NA,soil
GCF_014775675.1_ASM1477567v1,Seriola lalandi,farmed fish
GCF_904863075.1_INF334,Homo sapiens,urine
GCF_031184795.1_ASM3118479v1,NA,Human feces
GCF_027286125.1_ASM2728612v1,Homo sapiens,blood of patient with fever after tick-bite innoculated in SCID mouse; and isolated in MKP-F culture
GCF_900660555.1_50884_D01-3,Ovine (Sheep),Eye
GCF_020628355.1_ASM2062835v1,Hymeniacidon perlevis,marine sponge
GCF_023538955.1_ASM2353895v1,Homo sapiens,Human gut
GCF_028596105.1_ASM2859610v1,NA,Acidovorax temperans strain LMJ was isolated from a contaminated Tris Acetate Phosphate (TAP) medium culture plate of the green micro-alga Chlamydomonas reinhardtii strain; LMJ.SG0182 (a Chlamydomonas Library project (CLiP) strain)
GCF_002302355.1_ASM230235v1,alfalfa,alfalfa nodule
GCF_001928355.2_ASM192835v2,Oryza sativa,NA
GCF_028473305.1_ASM2847330v1,Homo sapiens,NA
GCF_005221665.1_ASM522166v1,NA,cattle
GCF_023362035.1_ASM2336203v1,Homo sapiens,blood
GCF_000299255.1_ASM29925v1,Homo sapiens,NA
GCF_003261055.1_ASM326105v1,NA,soil
GCF_013738915.1_ASM1373891v1,NA,Wastewater influent sample
GCF_004337635.1_ASM433763v1,NA,water
GCF_008365255.1_ASM836525v1,NA,tomato
GCF_040267635.1_MRSN123636,Homo sapiens,wound
GCF_037287395.1_ASM3728739v1,Homo sapiens,bloodstream
GCF_030490595.1_ASM3049059v1,Homo sapiens,NA
GCF_019915585.1_ASM1991558v1,Homo sapiens,blood
GCF_023169905.1_ASM2316990v1,NA,NA
GCF_027886565.1_ASM2788656v1,Homo sapiens,Wound/Abscess
GCF_024298485.1_ASM2429848v1,Homo sapiens,NA
GCF_004847585.1_ASM484758v1,Homo sapiens,stool
GCF_000014045.1_ASM1404v1,NA,NA
GCF_000017325.1_ASM1732v1,NA,NA
GCF_027571325.1_ASM2757132v1,Homo sapiens,sputum
GCF_016757795.1_ASM1675779v1,NA,Campbell Early grape
GCF_036233375.1_ASM3623337v1,Homo sapiens,Cystic fibrosis human lung
GCF_904066215.1_ASM90406621v1,NA,valley
GCF_019048105.1_ASM1904810v1,NA,NA
GCF_037057165.1_ASM3705716v1,Meles meles,intestine
GCF_963693505.1_KP1462023,Homo sapiens,human urine
GCF_034273595.1_ASM3427359v1,Homo sapiens,NA
GCF_001007875.1_ASM100787v1,NA,salt marsh
GCF_003113095.2_ASM311309v2,Ictalurus punctatus,NA
GCF_003004335.1_ASM300433v1,Homo sapiens,NA
GCF_021610025.1_ASM2161002v1,Oncorhynchus mykiss irideus,Little Campbell River; British Columbia; Canada
GCF_016904775.2_ASM1690477v2,Hainan,Poultry
GCF_905330895.2_AI2951v1_cpp,Homo sapiens,Hospital Universitario Central de Asturias (Oviedo)
GCF_001517645.1_R2091,NA,tissue
GCF_024585525.1_ASM2458552v1,Poultry,Cloacal sample
GCF_027362595.1_ASM2736259v1,NA,shrimp
GCF_025369795.1_ASM2536979v1,Poultry,Broiler
GCF_009709535.1_ASM970953v1,Salmo salar,NA
GCF_030166995.1_ASM3016699v1,NA,warm; humid forested area with dark clay soil; about 15 cm from the trunk of an Encino tree (Quercus glaucoides (5 cm deep))
GCF_000300175.1_ASM30017v1,NA,NA
GCF_030585485.1_ASM3058548v1,NA,bovine feces
GCF_027557675.1_ASM2755767v1,NA,fermented dairy product
GCF_024205625.1_ASM2420562v1,Homo sapiens,blood
GCF_037553545.1_ASM3755354v1,Homo sapiens,NA
GCF_019329425.1_ASM1932942v1,Homo sapiens,NA
GCF_016864395.1_ASM1686439v1,Homo sapiens,urine
GCF_037542475.1_ASM3754247v1,Homo sapiens,NA
GCF_022354345.1_ASM2235434v1,NA,Shatin WWTPs_3 WWTPs effluent
GCF_030717825.1_ASM3071782v1,yak,stool
GCF_037338445.1_ASM3733844v1,NA,sediment
GCF_001456055.3_ASM145605v3,Homo sapiens,urine
GCF_009708005.2_ASM970800v2,wax moth,intestine from larvae
GCF_025987745.1_ASM2598774v1,Phaseolus vulgaris,leaf
GCF_022557275.1_ASM2255727v1,The State Key Laboratory Breeding Base of Basic Science of Stomatology,Wuhan
GCF_036110805.1_ASM3611080v1,NA,soil
GCF_026547055.1_ASM2654705v1,Homo sapiens,Nose
GCF_020091325.1_ASM2009132v1,Homo sapiens,NA
GCF_022369015.1_ASM2236901v1,NA,Manis javanica
GCF_003640585.1_ASM364058v1,Homo sapiens,Gastric antrum
GCF_904799825.1_2016-17-292,Vulpes vulpes,Red Fox
GCF_030297395.1_ASM3029739v1,Homo sapiens,NA
GCF_024730805.1_ASM2473080v1,Homo sapiens,Bronchoalveolar lavage fluid
GCF_025561545.1_ASM2556154v1,Camel,swab
GCF_017894345.1_ASM1789434v1,Mus musculus,NA
GCF_001900515.1_ASM190051v1,cow,NA
GCF_016415405.1_ASM1641540v1,Homo sapiens,rectal swab
GCF_009432415.1_ASM943241v1,NA,cattle
GCF_009730035.1_ASM973003v1,Homo sapiens,clinical isolate
GCF_025142595.1_ASM2514259v1,NA,ENVO:00002034
GCF_038361275.1_ASM3836127v1,NA,NA
GCF_024363365.1_ASM2436336v1,NA,Brain-Heart-Infusion
GCF_002442955.1_ASM244295v1,Homo sapiens,feces
GCF_022369275.1_ASM2236927v1,NA,Manis javanica
GCF_022655485.1_ASM2265548v1,NA,forest soil
GCF_008619235.1_ASM861923v1,Homo sapiens,Sputum isolated from host
GCF_023653925.1_ASM2365392v1,Homo sapiens,NA
GCF_014109825.1_ASM1410982v1,NA,Biofilm - potable water
GCF_000511355.1_ASM51135v1,NA,seawater collected from a tide pool
GCF_004119675.1_ASM411967v1,NA,food
GCF_038096285.1_BSN152,Homo sapiens,blood
GCF_001941975.2_SSP,NA,river mud
GCF_023277345.1_ASM2327734v1,Homo sapiens,feces
GCF_022354125.1_ASM2235412v1,NA,Shek Wu Hui WWTPs_3 WWTPs effluent
GCF_019329645.1_ASM1932964v1,Homo sapiens,NA
GCF_014489395.1_ASM1448939v1,Homo sapiens,NA
GCF_020042685.1_ASM2004268v1,Homo sapiens,Pus
GCF_038426605.1_ASM3842660v1,Homo sapiens,blood
GCF_021665875.1_ASM2166587v1,potato,Potato Common Scab
GCF_003966565.1_ASM396656v1,NA,microbial mat
GCF_900416705.2_G2_hybrid,Anas platyrhynchos,cloacal swab
GCF_030758995.1_ASM3075899v1,NA,fermented vegetable
GCF_002848585.1_ASM284858v1,Homo sapiens,NA
GCF_000312685.1_ASM31268v1,NA,NA
GCF_000496285.1_ASM49628v1,NA,soil
GCF_024585745.1_ASM2458574v1,Pig,Rectal Swab
GCF_025398055.1_ASM2539805v1,Homo sapiens,sputum
GCF_003864095.1_ASM386409v1,NA,NA
GCF_013177415.1_ASM1317741v1,NA,food
GCF_009708715.1_ASM970871v1,Oncorhynchus kisutch,NA
GCF_032594455.1_ASM3259445v1,Coffea arabica,leaves
GCF_016598635.1_ASM1659863v1,Homo sapiens,NA
GCF_027945055.1_ASM2794505v1,NA,human clinical specimen
GCF_016925535.1_ASM1692553v1,NA,soda solonchak soil
GCF_008065435.1_ASM806543v1,crow,cloacal swab
GCF_000801185.2_ASM80118v2,NA,human stool
GCF_018861215.2_ASM1886121v2,Homo sapiens,screening
GCF_019048365.1_ASM1904836v1,NA,NA
GCF_008000895.1_ASM800089v1,Wheat,leaves
GCF_008973485.1_ASM897348v1,NA,Antarctic iceberg
GCF_030292075.1_ASM3029207v1,NA,rhizosphere soil
GCF_027886705.1_ASM2788670v1,NA,oilfield
GCF_037575275.1_ASM3757527v1,Chicken,NA
GCF_013801845.1_ASM1380184v1,NA,Pooled pig faecal samples collected from floor of farm
GCF_019375055.2_ASM1937505v2,NA,NA
GCF_004124175.2_ASM412417v2,NA,food
GCF_001693315.1_ASM169331v1,Homo sapiens,Urine
GCF_000765415.1_ASM76541v1,Homo sapiens,NA
GCF_002967885.2_ASM296788v2,Homo sapiens,urine
GCF_003006175.1_ASM300617v1,Homo sapiens,Trachaeal secretion
GCF_013167395.1_ASM1316739v1,bovine,NA
GCF_023362255.1_ASM2336225v1,Homo sapiens,sputum
GCF_005944305.1_ASM594430v1,Homo sapiens,rectal swab
GCF_037413555.1_ASM3741355v1,NA,ENVO:09200008
GCF_017088305.1_ASM1708830v1,NA,NA
GCF_964048515.1_30602_6_35,NA,NA
GCF_032917985.1_ASM3291798v1,Arachis hypogaea,NA
